numero,status
1,livre
2,livre
3,vendida
4,livre
5,livre
6,livre
7,livre
8,livre
9,reservada
10,livre
11,livre
12,livre
13,livre
14,livre
15,livre
16,livre
17,livre
18,livre
19,livre
20,livre
21,livre
22,livre
23,livre
24,livre
25,livre
26,livre
27,livre
28,livre
29,livre
30,livre
31,livre
32,livre
33,livre
34,livre
35,livre
36,livre
37,livre
38,livre
39,livre
40,livre
41,livre
42,livre
43,livre
44,livre
45,livre
46,livre
47,livre
48,livre
49,livre
50,livre
791,livre
792,livre
793,livre
794,livre
795,livre
796,livre
797,livre
798,livre
799,livre
800,livre
